name,brand,opening_hours,lat,lon,city,state,customer_id,segment,geofence_radius_m,warehouse_code
Walmart,Walmart,,24.1187653,-110.3431298,La Paz,Baja California Sur,0701327026,bronze,150,CEDI-10
Walmart,Walmart,,24.0558713,-104.6113973,Victoria de Durango,Durango,0272948425,silver,150,CEDI-11
Walmart,Walmart,,23.752387,-99.1564482,Ciudad Victoria,Tamaulipas,0217427959,silver,150,CEDI-07
Walmart,Walmart,,24.004552,-104.6522798,Victoria de Durango,Durango,0979076667,silver,150,CEDI-11
Walmart,Walmart,,26.9090107,-101.4239765,Monclova,Coahuila,0809560796,bronze,150,CEDI-07
Walmart,Walmart,,17.9893055,-92.969053,Brisas del Carrizal,Tabasco,0138324534,silver,150,CEDI-03
Walmart,Walmart,,18.0014765,-92.9247884,Villahermosa,Tabasco,0979520629,bronze,150,CEDI-03
Walmart Supercenter,Walmart,,19.8525832,-90.5285964,Campeche,Campeche,0959667771,gold,150,CEDI-06
Walmart,Walmart,,28.4023967,-106.8380768,Cuauhtemoc,Chihuahua,0304711447,silver,150,CEDI-09
Walmart,Walmart,,22.2711544,-97.871594,Tampico,Tamaulipas,0502761389,bronze,150,CEDI-13
Walmart,Walmart,,22.2529348,-97.8531038,Tampico,Tamaulipas,0075821011,silver,150,CEDI-13
Walmart 68,Walmart,,24.7791424,-107.3948419,Culiacan,Sinaloa,0837825024,gold,150,CEDI-10
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.2703357,-99.6060272,Metepec,Morelos,0251830185,gold,150,CEDI-04
Walmart,Walmart,,19.2810178,-99.6393299,Toluca,Mexico,0486353310,gold,150,CEDI-04
Walmart Express,Walmart,,19.2958725,-99.1552255,Tlalpan,Mexico City,0225294659,bronze,150,CEDI-04
Walmart,Walmart,,19.4293047,-98.9103576,Santa Martha,Mexico,0843581614,gold,150,CEDI-04
Walmart,Walmart,,26.9335338,-105.6509215,Hidalgo del Parral,Chihuahua,0658668399,silver,150,CEDI-09
Walmart,Walmart,,23.0538894,-109.7022061,San Jose del Cabo,Baja California Sur,0654239489,gold,150,CEDI-10
Walmart,Walmart,,23.2443948,-106.4237179,Mazatlan,Sinaloa,0956317036,silver,150,CEDI-11
Walmart Supercenter,Walmart,,20.6565959,-105.2381214,Puerto Vallarta,Jalisco,0411857261,silver,150,CEDI-08
Walmart,Walmart,,31.7046706,-106.418527,Ciudad Juarez,Chihuahua,0157453245,gold,150,CEDI-09
Walmart,Walmart,,31.7353352,-106.4424723,Ciudad Juarez,Chihuahua,0981607245,bronze,150,CEDI-09
Walmart Supercenter,Walmart,,17.9784896,-102.2126162,Ciudad Lazaro Cardenas,Michoacan,0842291855,bronze,150,CEDI-08
Walmart,Walmart,,21.4915278,-104.8816495,Tepic,Nayarit,0154856244,silver,150,CEDI-08
Walmart Supercenter,Walmart,,32.6225783,-115.4556588,Mexicali,Baja California,0966219621,gold,150,CEDI-05
Walmart,Walmart,,25.5813536,-108.4738193,Guasave,Sinaloa,0322940619,silver,150,CEDI-10
Walmart Supercenter,Walmart,Mo-Su 07:00-23:00,19.6795539,-101.2202865,Morelos,Michoacan,0517603449,bronze,150,CEDI-01
Walmart,Walmart,,20.7139039,-103.3753114,Zapopan,Jalisco,0065496091,silver,150,CEDI-08
Walmart,Walmart,,23.6577257,-100.6385302,Matehuala,San Luis Potosi,0870875243,silver,150,CEDI-07
Walmart Supercenter,Walmart,,20.5742272,-100.4092503,Santiago de Queretaro,Queretaro,0733438194,bronze,150,CEDI-01
Walmart Express,Walmart,,19.5229028,-96.8919475,Lomas Verdes,Veracruz,0278380028,gold,150,CEDI-12
Walmart,Walmart,,19.3078085,-99.6343534,Toluca,Mexico,0602776020,silver,150,CEDI-04
Walmart,Walmart,,19.2582445,-99.6226826,San Jorge Pueblo Nuevo,Mexico,0134342654,bronze,150,CEDI-04
Walmart Supercenter,Walmart,07:00-23:00,20.9970657,-89.6742824,Caucel,Yucatan,0762977656,silver,150,CEDI-06
Walmart Express,Walmart,,20.6918062,-100.4448061,El Salitre,Queretaro,0999644574,bronze,150,CEDI-01
Walmart,Walmart,,20.6760508,-100.4328571,El Salitre,Queretaro,0059134859,silver,150,CEDI-01
Walmart Express,Walmart,,19.2823096,-99.1732472,Tlalpan,Mexico City,0311285915,silver,150,CEDI-04
Walmart,Walmart,,19.2656105,-99.170326,Tlalpan,Mexico City,0366058408,gold,150,CEDI-04
Walmart,Walmart,Mo-Su 08:00-21:00,18.9559917,-99.2378287,Fraccionamiento Lomas de Ahuatlan,Morelos,0314653757,silver,150,CEDI-04
Walmart Supercenter,Walmart,Mo-Su 07:00-10:00,19.4175609,-99.1057521,Iztacalco,Mexico City,0824599861,gold,150,CEDI-04
Walmart,Walmart,,28.1994923,-105.4650725,Ciudad Delicias,Chihuahua,0215404768,bronze,150,CEDI-09
Walmart Express,Walmart,,19.3818449,-99.1626121,Colonia del Valle,Mexico City,0238459504,silver,150,CEDI-04
Walmart,Walmart,,18.9013826,-99.1747505,Jiutepec,Morelos,0901117085,silver,150,CEDI-04
Walmart,Walmart,,31.821466,-116.600555,Ensenada,Baja California,0011097871,bronze,150,CEDI-05
Walmart,Walmart,,19.2806056,-103.7312912,Ciudad de Villa de Alvarez,Colima,0788626322,gold,150,CEDI-08
Walmart,Walmart,,20.5389573,-100.4353881,El Pueblito,Queretaro,0444361850,bronze,150,CEDI-01
Walmart Supercenter,Walmart,,19.3842354,-99.080422,Iztacalco,Mexico City,0709837043,silver,150,CEDI-04
Walmart,Walmart,,19.2872293,-99.699357,San Jose Barbabosa,Mexico,0098633202,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,20.9946023,-89.6552849,Merida,Yucatan,0173680513,bronze,150,CEDI-06
Walmart,Walmart,,25.6638941,-100.2420475,Guadalupe,Nuevo Leon,0741500102,bronze,150,CEDI-07
Walmart,Walmart,,19.5429377,-99.2137542,Tlalnepantla,Mexico,0017762216,silver,150,CEDI-04
Walmart,Walmart,Mo-Su 07:00-23:00,18.9025915,-96.9596757,San Jose de Abajo [Unidad Habitacional],Veracruz,0061233438,silver,150,CEDI-12
Walmart,Walmart,,31.6335624,-106.3934245,Socorro,Texas,0460870451,bronze,150,CEDI-09
Walmart Express,Walmart,,19.3899251,-99.1756754,Colonia del Valle,Mexico City,0658730724,silver,150,CEDI-04
Walmart,Walmart,,32.4936538,-116.8519718,Terrazas del Valle,Baja California,0103444735,gold,150,CEDI-05
Walmart,Walmart,,20.6544551,-87.080986,Playa del Carmen,Quintana Roo,0834633672,silver,150,CEDI-06
Walmart Supercenter,Walmart,Mo-Su 7:00-22:00,21.0097091,-89.6219013,Merida,Yucatan,0646358804,bronze,150,CEDI-06
Walmart,Walmart,,19.6773898,-99.1482687,Tultepec,Mexico,0172099689,silver,150,CEDI-04
Walmart,Walmart,,32.4956784,-116.9347382,San Luis,Baja California,0078024602,bronze,150,CEDI-05
Walmart,Walmart,,31.2892777,-110.94162,Nogales,Sonora,0388303464,bronze,150,CEDI-02
Walmart Express,Walmart,,19.4350622,-99.2095777,Miguel Hidalgo,Mexico City,0839560181,silver,150,CEDI-04
Walmart Express,Walmart,,20.6946251,-103.384171,Zapopan2,Jalisco,0095556747,silver,150,CEDI-08
Walmart,Walmart,,18.5150213,-88.2812557,Chetumal,Quintana Roo,0464095747,silver,150,CEDI-06
Walmart,Walmart,,22.9032144,-109.8991831,Cabo San Lucas,Baja California Sur,0540814379,silver,150,CEDI-10
Walmart Supercenter,Walmart,,19.4254216,-102.0380574,Uruapan,Michoacan,0190045448,silver,150,CEDI-01
Walmart Supercenter,Walmart,,25.6753317,-100.4510267,Santa Catarina,Nuevo Leon,0847478181,silver,150,CEDI-07
Walmart,Walmart,,22.1655906,-100.9990293,San Luis Potosi,San Luis Potosi,0324411978,bronze,150,CEDI-01
Walmart,Walmart,,25.6524327,-100.209608,Jardines de la Silla (Jardines),Nuevo Leon,0055639900,silver,150,CEDI-07
Walmart Express,Walmart,,25.678906,-100.3641394,Garza Garcia,Nuevo Leon,0892990927,bronze,150,CEDI-07
Walmart Supercenter,Walmart,,19.2948448,-99.1091815,Xochimilco,Mexico City,0016269600,silver,150,CEDI-04
Walmart,Walmart,,20.3537963,-102.056849,La Piedad Cavadas,Michoacan,0680504148,bronze,150,CEDI-01
Walmart Supercenter,Walmart,,20.997731,-89.5759965,Merida,Yucatan,0607393723,gold,150,CEDI-06
Walmart SuperCenter Valle Real,Walmart,,20.7296914,-103.4506815,Nuevo Mexico,Jalisco,0868518220,bronze,150,CEDI-08
Walmart Express,Walmart,,20.731029,-103.4331921,Nuevo Mexico,Jalisco,0171068383,silver,150,CEDI-08
Walmart,Walmart,,20.6571305,-103.4490454,Guadalajara,Jalisco,0268378113,silver,150,CEDI-08
Walmart Express,Walmart,,19.490273,-99.1340218,Colonia Lindavista,Mexico,0023546553,silver,150,CEDI-04
Walmart Express,Walmart,,19.3930088,-99.1542427,Benito Juarez,Mexico City,0971429843,bronze,150,CEDI-04
Walmart Express,Walmart,,18.9352361,-99.2076141,Colonia los Cerritos,Morelos,0246131273,silver,150,CEDI-04
Walmart,Walmart,,25.6656145,-100.2805387,Guadalupe,Nuevo Leon,0746535587,bronze,150,CEDI-07
Walmart,Walmart,,18.4680763,-97.4154745,Tehuacan,Puebla,0391298895,silver,150,CEDI-12
Walmart Supercenter,Walmart,,20.603543,-103.4005028,Paseo del Prado,Jalisco,0366805214,silver,150,CEDI-08
Walmart,Walmart,,21.8825958,-102.2580382,Aguascalientes,Aguascalientes,0731514705,bronze,150,CEDI-01
Walmart Express,Walmart,,20.6931838,-103.4406003,Zapopan2,Jalisco,0178207372,gold,150,CEDI-08
Walmart,Walmart,,32.5283392,-117.1186835,Imperial Beach,California,0334121986,gold,150,CEDI-05
Walmart Supercenter,Walmart,,20.809964,-102.7778371,Tepatitlan de Morelos,Jalisco,0479776098,gold,150,CEDI-08
Walmart,Walmart,,18.8366256,-99.2137051,Temixco,Morelos,0598983204,silver,150,CEDI-04
Walmart,Walmart,,19.6384616,-99.2233795,Cuautitlan Izcalli,Mexico,0368387604,silver,150,CEDI-04
Walmart,Walmart,,27.4818168,-109.927085,Ciudad Obregon,Sonora,0662773635,silver,150,CEDI-02
Walmart,Walmart,,16.2315157,-95.208428,La Noria,Oaxaca,0494711477,silver,150,CEDI-03
Walmart,Walmart,,16.7532671,-93.1362163,Tuxtla Gutierrez,Chiapas,0621492754,gold,150,CEDI-03
Walmart Express,Walmart,,19.3392205,-99.1266005,Coyoacan,Mexico City,0160014152,silver,150,CEDI-04
Walmart Supercenter,Walmart,,19.3987618,-99.2889231,San Bartolome Coatepec,Mexico,0356340453,bronze,150,CEDI-04
Walmart Express,Walmart,,19.3728901,-99.2789704,Col. Bosques de las Lomas,Mexico City,0859204986,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,19.5530701,-99.2905056,Ciudad Lopez Mateos,Mexico,0005341300,gold,150,CEDI-04
Walmart,Walmart,,25.7939408,-100.3272884,General Escobedo,Nuevo Leon,0155970039,silver,150,CEDI-07
Walmart,Walmart,,16.7505212,-93.0764066,Tuxtla Gutierrez,Chiapas,0852000496,bronze,150,CEDI-03
Walmart Express,Walmart,,18.9368052,-99.2474479,Cuernavaca,Morelos,0464097181,gold,150,CEDI-04
Walmart,Walmart,Mo-Su 07:00-23:00,18.8625788,-97.0948134,Orizaba,Veracruz,0728719828,gold,150,CEDI-12
Walmart,Walmart,,28.6189818,-106.0290466,Chihuahua,Chihuahua,0942312160,bronze,150,CEDI-09
Walmart Supercenter,Walmart,Mo-Su 08:00-22:30,19.4195647,-99.0938092,Venustiano Carranza,Mexico City,0754116423,gold,150,CEDI-04
Walmart Supercenter,Walmart,,20.5875543,-103.4427492,La Tijera,Jalisco,0560318655,silver,150,CEDI-08
Walmart Express,Walmart,,19.3448608,-99.1351934,Coyoacan,Mexico City,0236964311,silver,150,CEDI-04
Walmart Supercenter,Walmart,,32.3784659,-117.0589563,Rosarito,Baja California,0782110096,gold,150,CEDI-05
Walmart,Walmart,,19.8246235,-90.5457555,Campeche,Campeche,0287313205,silver,150,CEDI-06
Walmart,Walmart,,19.2992241,-98.8859091,Ixtapaluca,Mexico,0281532302,bronze,150,CEDI-04
Walmart,Walmart,,21.038754,-89.6043101,Merida,Yucatan,0431490455,silver,150,CEDI-06
Walmart,Walmart,,25.7599588,-100.4054872,Mitras Poniente,Nuevo Leon,0478380379,silver,150,CEDI-07
Walmart,Walmart,,32.4878693,-116.9455419,San Luis,Baja California,0640317095,silver,150,CEDI-05
Walmart Supercenter,Walmart,,21.8598263,-102.2960654,Aguascalientes,Aguascalientes,0719547925,silver,150,CEDI-01
Walmart Supercenter,Walmart,Mo-Su 08:00-22:00,28.7274465,-106.1299761,Chihuahua,Chihuahua,0866706057,bronze,150,CEDI-09
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.4152626,-99.1780745,Polanco,Mexico City,0415884692,silver,150,CEDI-04
Walmart,Walmart,,29.0983153,-110.9941515,Hermosillo,Sonora,0657938226,bronze,150,CEDI-02
Walmart,Walmart,,19.6927456,-101.1488709,Puerto de Buenavista (Lazaro Cardenas),Michoacan,0118584176,bronze,150,CEDI-01
Walmart La Isla,Walmart,,24.8249887,-107.3702406,Culiacan,Sinaloa,0501755567,gold,150,CEDI-10
Walmart,Walmart,,19.6591248,-99.0184522,Santo Tomas Chiconautla,Mexico,0445412477,gold,150,CEDI-04
Walmart,Walmart,,19.2994268,-98.9534528,San Miguel Xico Viejo,Mexico,0603500415,silver,150,CEDI-04
Walmart,Walmart,,19.0770185,-98.2243385,Sanctorum,Puebla,0959260451,silver,150,CEDI-04
Walmart Express,Walmart,,19.033006,-98.2249872,Puebla,Puebla,0167011128,gold,150,CEDI-04
Walmart Express,Walmart,,18.9442032,-99.2278842,Cuernavaca,Morelos,0842964745,silver,150,CEDI-04
Walmart,Walmart,,29.1221182,-110.9492411,Hermosillo,Sonora,0751167499,silver,150,CEDI-02
Walmart,Walmart,,21.0984411,-101.6601165,Leon,Guanajuato,0909845775,gold,150,CEDI-01
Walmart Express,Walmart,,18.9562867,-99.2463575,Fraccionamiento Lomas de Ahuatlan,Morelos,0723407314,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,19.515425,-99.2310742,Vista Hermosa,Mexico,0187494270,silver,150,CEDI-04
Walmart,Walmart,,19.7899192,-99.0547159,Arbolada los Sauces,Mexico,0099513538,bronze,150,CEDI-04
Walmart,Walmart,,23.7405969,-99.1347435,Ciudad Victoria,Tamaulipas,0665515072,silver,150,CEDI-07
Walmart Supercenter,Walmart,,19.2613176,-98.878062,Chalco de Diaz Covarrubias,Mexico,0800718225,bronze,150,CEDI-04
Walmart,Walmart,,22.277706,-97.8420689,Ciudad Madero,Tamaulipas,0282667612,silver,150,CEDI-13
Walmart,Walmart,,28.697911,-106.139114,Chihuahua,Chihuahua,0075266993,silver,150,CEDI-09
Walmart Supercenter,Walmart,,28.6658722,-106.1307812,Chihuahua,Chihuahua,0074237117,silver,150,CEDI-09
Walmart Supercenter,Walmart,,32.4744702,-117.0004853,Tijuana,Baja California,0094656200,silver,150,CEDI-05
Walmart Colosio,Walmart,Mo-Su 07:00-23:00,29.0833106,-111.0214687,Hermosillo,Sonora,0535011495,silver,150,CEDI-02
Walmart Supercenter,Walmart,,19.3445769,-99.1827557,Coyoacan,Mexico City,0263278873,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,17.5256642,-99.489861,Chilpancingo de los Bravos,Guerrero,0175504359,silver,150,CEDI-04
Walmart,Walmart,,16.7447666,-92.660117,San Antonio del Monte,Chiapas,0028779163,silver,150,CEDI-03
Walmart,Walmart,,21.1251674,-86.8754778,Alfredo V. Bonfil,Quintana Roo,0836935236,gold,150,CEDI-06
Walmart Express,Walmart,,19.0762595,-96.093022,Playa de la Libertad,Veracruz,0215465764,bronze,150,CEDI-12
Walmart Express,Walmart,,19.4223365,-99.2055158,Polanco,Mexico City,0372275868,silver,150,CEDI-04
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3395759,-99.2188186,Magdalena Contreras,Mexico City,0921237019,silver,150,CEDI-04
Walmart,Walmart,,16.844763,-99.847337,Acapulco de Juarez,Guerrero,0189026115,silver,150,CEDI-04
Walmart Supercenter,Walmart,,20.559802,-100.4273835,El Pueblito,Queretaro,0051711873,bronze,150,CEDI-01
Walmart Supercenter,Walmart,,19.5160229,-99.2677855,Rincon Verde,Mexico,0814405714,bronze,150,CEDI-04
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.4092548,-99.075272,Iztacalco,Mexico City,0522525660,gold,150,CEDI-04
Walmart,Walmart,,19.3238448,-98.2297135,Acxotla del Rio,Tlaxcala,0621379320,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,19.249667,-99.5897545,San Salvador Tizatlalli,Mexico,0607581317,gold,150,CEDI-04
Walmart,Walmart,,19.0172782,-98.2634913,Tlazcalancingo,Puebla,0875424086,gold,150,CEDI-04
Walmart Supercenter,Walmart,,20.743896,-103.4095565,Zapopan2,Jalisco,0145847892,bronze,150,CEDI-08
Walmart Supercenter,Walmart,,25.7915827,-100.2476839,Fraccionamiento Cosmopolis Octavo Sector,Nuevo Leon,0988798012,silver,150,CEDI-07
Walmart Supercenter,Walmart,,19.3640196,-99.2886505,Cuajimalpa,Mexico City,0441743125,bronze,150,CEDI-04
Walmart,Walmart,24/7,21.1543228,-86.8337325,Cancun,Quintana Roo,0461696210,silver,150,CEDI-06
Walmart,Walmart,,25.8058384,-108.990648,Los Mochis,Sinaloa,0829162295,bronze,150,CEDI-10
Walmart Supercenter,Walmart,,20.5832283,-101.2246184,Salamanca,Guanajuato,0518475720,silver,150,CEDI-01
Walmart,Walmart,,25.8594122,-97.5195236,Heroica Matamoros,Tamaulipas,0931035609,gold,150,CEDI-07
Walmart Reforma Huinala,Walmart,,25.7236045,-100.1642325,Fraccionamiento Mision de San Javier,Nuevo Leon,0423965569,gold,150,CEDI-07
Walmart,Walmart,,20.6572342,-101.3432144,Irapuato,Guanajuato,0245664228,bronze,150,CEDI-01
Walmart Supercenter,Walmart,,19.5159382,-98.8685193,Texcoco de Mora,Mexico,0296301972,silver,150,CEDI-04
Walmart,Walmart,,18.9328078,-99.2275323,Cuernavaca,Morelos,0741718958,silver,150,CEDI-04
Walmart,Walmart,,18.9343885,-99.1965867,Colonia los Cerritos,Morelos,0083353657,bronze,150,CEDI-04
Walmart,Walmart,,14.8742921,-92.2833104,Cebadilla 1ra. Seccion,Chiapas,0730400302,silver,150,CEDI-03
Walmart,Walmart,,21.9662905,-98.9933711,Ciudad Valles,San Luis Potosi,0049576256,bronze,150,CEDI-13
Walmart Supercenter,Walmart,,21.3439694,-101.9458741,Lagos de Moreno,Jalisco,0372557258,silver,150,CEDI-01
Walmart,Walmart,,20.5686805,-97.437351,Villa de las Flores,Veracruz,0008398232,bronze,150,CEDI-13
Walmart,Walmart,,20.9478096,-97.4334483,Alto Lucero,Veracruz,0141257298,bronze,150,CEDI-13
Walmart Express,Walmart,Mo-Su 07:00-22:00,19.1817045,-99.5898311,San Andres Ocotlan,Morelos,0955761839,bronze,150,CEDI-04
Walmart,Walmart,,19.2134364,-96.1921704,Rio Medio [Granja],Veracruz,0495602558,silver,150,CEDI-12
Walmart Express,Walmart,,20.6857445,-103.3956332,Guadalajara,Jalisco,0821953854,gold,150,CEDI-08
Walmart Supercenter,Walmart,,20.7444311,-103.3876492,Zapopan,Jalisco,0093806088,silver,150,CEDI-08
Walmart,Walmart,,32.5957582,-115.3608351,Puebla,Baja California,0354292853,silver,150,CEDI-05
Walmart,Walmart,,20.0884977,-98.7191646,Colinas de Plata,Hidalgo,0938253171,bronze,150,CEDI-04
Walmart Supercenter,Walmart,Mo-Su 08:00-23:00,32.63368,-115.3850494,Islas Agrarias Grupo A,Baja California,0842898011,silver,150,CEDI-05
Walmart Express,Walmart,,20.7089804,-103.4110818,Zapopan2,Jalisco,0852717884,silver,150,CEDI-08
Walmart,Walmart,,25.5765728,-103.4143499,Torreon,Coahuila,0699556294,bronze,150,CEDI-11
Walmart fundidores Lopez mateos,Walmart,,25.733662,-100.2461405,San Nicolas de los Garza,Nuevo Leon,0922208543,silver,150,CEDI-07
Walmart,Walmart,"Mo-Su,PH 07:00-23:00",20.6703019,-87.064092,Playa del Carmen,Quintana Roo,0475008076,silver,150,CEDI-06
Walmart Supercenter,Walmart,,19.6771221,-103.4762453,Ciudad Guzman,Jalisco,0171453565,bronze,150,CEDI-08
