name,brand,opening_hours,lat,lon,city,state,customer_id,segment,warehouse
Walmart,Walmart,,25.615883,-100.2742737,Guadalupe,Nuevo Leon,0835287557,silver,CEDI-12 · Guadalupe
Walmart Supercenter,Walmart,,20.2965952,-103.2444493,Ajijic,Jalisco,0184093100,silver,CEDI-08 · Guadalajara
Walmart,Walmart,,20.6645714,-103.3483555,Guadalajara,Jalisco,0848866020,bronze,CEDI-08 · Guadalajara
Walmart Supercenter,Walmart,,19.4435046,-99.1531236,Cuauhtemoc,Mexico City,0604509993,silver,CEDI-09 · Puebla
Walmart,Walmart,,19.5418447,-96.9073705,Xalapa de Enriquez,Veracruz,0733550822,silver,CEDI-05 · Veracruz
Walmart,Walmart,,19.1565412,-96.1123401,Veracruz,Veracruz,0009131628,gold,CEDI-05 · Veracruz
Walmart Express,Walmart,,20.6425974,-103.4145573,Guadalajara,Jalisco,0243161184,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,25.7307317,-100.369774,San Nicolas de los Garza,Nuevo Leon,0986166907,silver,CEDI-12 · Guadalupe
Walmart Supercenter,Walmart,,25.6731942,-100.2024322,Jardines de la Silla (Jardines),Nuevo Leon,0975216141,silver,CEDI-12 · Guadalupe
Walmart,Walmart,,25.766053,-100.3172532,San Nicolas de los Garza,Nuevo Leon,0065713581,bronze,CEDI-12 · Guadalupe
Walmart,Walmart,,19.4253702,-99.0289726,Colonia Gustavo Baz Prada,Mexico,0452075892,bronze,CEDI-09 · Puebla
Walmart,Walmart,,28.6344662,-106.119385,Chihuahua,Chihuahua,0034187824,gold,CEDI-11 · Chihuahua
Walmart Supercenter,Walmart,,19.2573498,-103.7205064,Colima,Colima,0445009508,silver,CEDI-08 · Guadalajara
Walmart,Walmart,,27.5167106,-109.9285698,Ciudad Obregon,Sonora,0966727433,gold,CEDI-13 · Hermosillo
Walmart Supercenter,Walmart,,19.530975,-99.1562374,Tlalnepantla,Mexico,0814848374,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.30805,-99.0596829,Iztapalapa,Mexico City,0582781903,silver,CEDI-09 · Puebla
Walmart,Walmart,,20.6487559,-103.3100069,Tlaquepaque,Jalisco,0430936883,bronze,CEDI-08 · Guadalajara
Walmart Express,Walmart,,19.4348713,-99.1858689,Miguel Hidalgo,Mexico City,0679883413,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,19.4339538,-99.1900816,Miguel Hidalgo,Mexico City,0957971352,silver,CEDI-09 · Puebla
Walmart,Walmart,,20.6666951,-103.4098868,Guadalajara,Jalisco,0490485729,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,22.1384368,-100.9348495,Soledad de Graciano Sanchez,San Luis Potosi,0114867553,gold,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,22.7621373,-102.5509176,Zacatecas,Zacatecas,0091877266,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,21.161556,-101.6908499,Leon,Guanajuato,0418567644,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,22.2303439,-97.8677321,Tampico,Tamaulipas,0622334425,silver,CEDI-02 · Tampico
Walmart,Walmart,,22.297356,-97.879949,Tampico,Tamaulipas,0111896680,silver,CEDI-02 · Tampico
Walmart,Walmart,,19.5089047,-96.8818018,Colonia Santa Barbara,Veracruz,0226969940,silver,CEDI-05 · Veracruz
Walmart,Walmart,,20.5341685,-100.7968926,Celaya,Guanajuato,0307966677,silver,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,19.4055036,-99.2737331,Naucalpan de Juarez,Mexico,0209196722,silver,CEDI-09 · Puebla
Walmart Río Sonora,Walmart,,29.06765,-110.9684122,Hermosillo,Sonora,0838599516,silver,CEDI-13 · Hermosillo
Walmart Supercenter,Walmart,,19.2385462,-103.7155281,Colima,Colima,0431511479,silver,CEDI-08 · Guadalajara
Walmart,Walmart,,20.6838255,-101.3666549,Irapuato,Guanajuato,0660602731,bronze,CEDI-10 · Santiago de Queretaro
Walmart Culiacán,Walmart,,24.814762,-107.4092124,Culiacan,Sinaloa,0514295903,gold,CEDI-01 · La Paz
Walmart,Walmart,,24.1187653,-110.3431298,La Paz,Baja California Sur,0388136838,bronze,CEDI-01 · La Paz
Walmart,Walmart,,24.0558713,-104.6113973,Victoria de Durango,Durango,0137978243,silver,CEDI-06 · Victoria de Durango
Walmart,Walmart,,23.752387,-99.1564482,Ciudad Victoria,Tamaulipas,0802232848,bronze,CEDI-02 · Tampico
Walmart,Walmart,,24.004552,-104.6522798,Victoria de Durango,Durango,0902606553,bronze,CEDI-06 · Victoria de Durango
Walmart,Walmart,,26.9090107,-101.4239765,Monclova,Coahuila,0698674764,silver,CEDI-12 · Guadalupe
Walmart,Walmart,,17.9893055,-92.969053,Brisas del Carrizal,Tabasco,0907577935,silver,CEDI-07 · Villahermosa
Walmart,Walmart,,18.0014765,-92.9247884,Villahermosa,Tabasco,0178662975,silver,CEDI-07 · Villahermosa
Walmart Supercenter,Walmart,,19.8525832,-90.5285964,Campeche,Campeche,0365362354,bronze,CEDI-03 · Merida
Walmart,Walmart,,28.4023967,-106.8380768,Cuauhtemoc,Chihuahua,0344471526,bronze,CEDI-11 · Chihuahua
Walmart,Walmart,,22.2711544,-97.871594,Tampico,Tamaulipas,0139025222,gold,CEDI-02 · Tampico
Walmart,Walmart,,22.2529348,-97.8531038,Tampico,Tamaulipas,0680096232,silver,CEDI-02 · Tampico
Walmart 68,Walmart,,24.7791424,-107.3948419,Culiacan,Sinaloa,0797310936,silver,CEDI-01 · La Paz
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.2703357,-99.6060272,Metepec,Morelos,0359346758,gold,CEDI-09 · Puebla
Walmart,Walmart,,19.2810178,-99.6393299,Toluca,Mexico,0231173781,bronze,CEDI-09 · Puebla
Walmart Express,Walmart,,19.2958725,-99.1552255,Tlalpan,Mexico City,0935548824,silver,CEDI-09 · Puebla
Walmart,Walmart,,19.4293047,-98.9103576,Santa Martha,Mexico,0510360404,silver,CEDI-09 · Puebla
Walmart,Walmart,,26.9335338,-105.6509215,Hidalgo del Parral,Chihuahua,0594915148,bronze,CEDI-11 · Chihuahua
Walmart,Walmart,,23.0538894,-109.7022061,San Jose del Cabo,Baja California Sur,0471437111,bronze,CEDI-01 · La Paz
Walmart,Walmart,,23.2443948,-106.4237179,Mazatlan,Sinaloa,0125239518,silver,CEDI-06 · Victoria de Durango
Walmart Supercenter,Walmart,,20.6565959,-105.2381214,Puerto Vallarta,Jalisco,0624479036,gold,CEDI-08 · Guadalajara
Walmart,Walmart,,31.7046706,-106.418527,Ciudad Juarez,Chihuahua,0081698167,silver,CEDI-11 · Chihuahua
Walmart,Walmart,,31.7353352,-106.4424723,Ciudad Juarez,Chihuahua,0987634228,bronze,CEDI-11 · Chihuahua
Walmart Supercenter,Walmart,,17.9784896,-102.2126162,Ciudad Lazaro Cardenas,Michoacan,0765659564,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,21.4915278,-104.8816495,Tepic,Nayarit,0162881887,silver,CEDI-08 · Guadalajara
Walmart Supercenter,Walmart,,32.6225783,-115.4556588,Mexicali,Baja California,0516944187,bronze,CEDI-04 · San Luis
Walmart,Walmart,,25.5813536,-108.4738193,Guasave,Sinaloa,0064479507,silver,CEDI-01 · La Paz
Walmart Supercenter,Walmart,Mo-Su 07:00-23:00,19.6795539,-101.2202865,Morelos,Michoacan,0594097339,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,20.7139039,-103.3753114,Zapopan,Jalisco,0618409580,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,23.6577257,-100.6385302,Matehuala,San Luis Potosi,0481676574,silver,CEDI-12 · Guadalupe
Walmart Supercenter,Walmart,,20.5742272,-100.4092503,Santiago de Queretaro,Queretaro,0666036721,bronze,CEDI-10 · Santiago de Queretaro
Walmart Express,Walmart,,19.5229028,-96.8919475,Lomas Verdes,Veracruz,0804019104,gold,CEDI-05 · Veracruz
Walmart,Walmart,,19.3078085,-99.6343534,Toluca,Mexico,0611120237,bronze,CEDI-09 · Puebla
Walmart,Walmart,,19.2582445,-99.6226826,San Jorge Pueblo Nuevo,Mexico,0784992782,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,07:00-23:00,20.9970657,-89.6742824,Caucel,Yucatan,0176899042,silver,CEDI-03 · Merida
Walmart Express,Walmart,,20.6918062,-100.4448061,El Salitre,Queretaro,0409352554,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,20.6760508,-100.4328571,El Salitre,Queretaro,0251187557,silver,CEDI-10 · Santiago de Queretaro
Walmart Express,Walmart,,19.2823096,-99.1732472,Tlalpan,Mexico City,0066547553,silver,CEDI-09 · Puebla
Walmart,Walmart,,19.2656105,-99.170326,Tlalpan,Mexico City,0500334879,gold,CEDI-09 · Puebla
Walmart,Walmart,Mo-Su 08:00-21:00,18.9559917,-99.2378287,Fraccionamiento Lomas de Ahuatlan,Morelos,0142815715,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,Mo-Su 07:00-10:00,19.4175609,-99.1057521,Iztacalco,Mexico City,0080514428,gold,CEDI-09 · Puebla
Walmart,Walmart,,28.1994923,-105.4650725,Ciudad Delicias,Chihuahua,0500077744,bronze,CEDI-11 · Chihuahua
Walmart Express,Walmart,,19.3818449,-99.1626121,Colonia del Valle,Mexico City,0166137082,gold,CEDI-09 · Puebla
Walmart,Walmart,,18.9013826,-99.1747505,Jiutepec,Morelos,0524249817,bronze,CEDI-09 · Puebla
Walmart,Walmart,,31.821466,-116.600555,Ensenada,Baja California,0439656007,silver,CEDI-04 · San Luis
Walmart,Walmart,,19.2806056,-103.7312912,Ciudad de Villa de Alvarez,Colima,0594889476,gold,CEDI-08 · Guadalajara
Walmart,Walmart,,20.5389573,-100.4353881,El Pueblito,Queretaro,0834680986,silver,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,19.3842354,-99.080422,Iztacalco,Mexico City,0234082429,gold,CEDI-09 · Puebla
Walmart,Walmart,,19.2872293,-99.699357,San Jose Barbabosa,Mexico,0809574750,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,20.9946023,-89.6552849,Merida,Yucatan,0341116155,silver,CEDI-03 · Merida
Walmart,Walmart,,25.6638941,-100.2420475,Guadalupe,Nuevo Leon,0009129682,bronze,CEDI-12 · Guadalupe
Walmart,Walmart,,19.5429377,-99.2137542,Tlalnepantla,Mexico,0294968482,silver,CEDI-09 · Puebla
Walmart,Walmart,Mo-Su 07:00-23:00,18.9025915,-96.9596757,San Jose de Abajo [Unidad Habitacional],Veracruz,0700603294,gold,CEDI-05 · Veracruz
Walmart,Walmart,,31.6335624,-106.3934245,Socorro,Texas,0543984198,silver,CEDI-11 · Chihuahua
Walmart Express,Walmart,,19.3899251,-99.1756754,Colonia del Valle,Mexico City,0250247468,gold,CEDI-09 · Puebla
Walmart,Walmart,,32.4936538,-116.8519718,Terrazas del Valle,Baja California,0579415527,bronze,CEDI-04 · San Luis
Walmart,Walmart,,20.6544551,-87.080986,Playa del Carmen,Quintana Roo,0326497443,silver,CEDI-03 · Merida
Walmart Supercenter,Walmart,Mo-Su 7:00-22:00,21.0097091,-89.6219013,Merida,Yucatan,0998365909,silver,CEDI-03 · Merida
Walmart,Walmart,,19.6773898,-99.1482687,Tultepec,Mexico,0574653094,silver,CEDI-09 · Puebla
Walmart,Walmart,,32.4956784,-116.9347382,San Luis,Baja California,0620743101,bronze,CEDI-04 · San Luis
Walmart,Walmart,,31.2892777,-110.94162,Nogales,Sonora,0480728482,bronze,CEDI-13 · Hermosillo
Walmart Express,Walmart,,19.4350622,-99.2095777,Miguel Hidalgo,Mexico City,0973209947,bronze,CEDI-09 · Puebla
Walmart Express,Walmart,,20.6946251,-103.384171,Zapopan2,Jalisco,0814462322,gold,CEDI-08 · Guadalajara
Walmart,Walmart,,18.5150213,-88.2812557,Chetumal,Quintana Roo,0350520233,bronze,CEDI-03 · Merida
Walmart,Walmart,,22.9032144,-109.8991831,Cabo San Lucas,Baja California Sur,0333191008,bronze,CEDI-01 · La Paz
Walmart Supercenter,Walmart,,19.4254216,-102.0380574,Uruapan,Michoacan,0578872434,silver,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,25.6753317,-100.4510267,Santa Catarina,Nuevo Leon,0259159957,silver,CEDI-12 · Guadalupe
Walmart,Walmart,,22.1655906,-100.9990293,San Luis Potosi,San Luis Potosi,0316377390,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,25.6524327,-100.209608,Jardines de la Silla (Jardines),Nuevo Leon,0820472217,gold,CEDI-12 · Guadalupe
Walmart Express,Walmart,,25.678906,-100.3641394,Garza Garcia,Nuevo Leon,0102711531,silver,CEDI-12 · Guadalupe
Walmart Supercenter,Walmart,,19.2948448,-99.1091815,Xochimilco,Mexico City,0563473796,gold,CEDI-09 · Puebla
Walmart,Walmart,,20.3537963,-102.056849,La Piedad Cavadas,Michoacan,0882261776,silver,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,20.997731,-89.5759965,Merida,Yucatan,0672677453,gold,CEDI-03 · Merida
Walmart SuperCenter Valle Real,Walmart,,20.7296914,-103.4506815,Nuevo Mexico,Jalisco,0852891539,gold,CEDI-08 · Guadalajara
Walmart Express,Walmart,,20.731029,-103.4331921,Nuevo Mexico,Jalisco,0290961733,silver,CEDI-08 · Guadalajara
Walmart,Walmart,,20.6571305,-103.4490454,Guadalajara,Jalisco,0605524563,bronze,CEDI-08 · Guadalajara
Walmart Express,Walmart,,19.490273,-99.1340218,Colonia Lindavista,Mexico,0832479063,bronze,CEDI-09 · Puebla
Walmart Express,Walmart,,19.3930088,-99.1542427,Benito Juarez,Mexico City,0758377552,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,18.9352361,-99.2076141,Colonia los Cerritos,Morelos,0607522098,bronze,CEDI-09 · Puebla
Walmart,Walmart,,25.6656145,-100.2805387,Guadalupe,Nuevo Leon,0775223037,silver,CEDI-12 · Guadalupe
Walmart,Walmart,,18.4680763,-97.4154745,Tehuacan,Puebla,0495856271,silver,CEDI-05 · Veracruz
Walmart Supercenter,Walmart,,20.603543,-103.4005028,Paseo del Prado,Jalisco,0517022375,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,21.8825958,-102.2580382,Aguascalientes,Aguascalientes,0452943962,gold,CEDI-10 · Santiago de Queretaro
Walmart Express,Walmart,,20.6931838,-103.4406003,Zapopan2,Jalisco,0032434177,silver,CEDI-08 · Guadalajara
Walmart,Walmart,,32.5283392,-117.1186835,Imperial Beach,California,0042162048,bronze,CEDI-04 · San Luis
Walmart Supercenter,Walmart,,20.809964,-102.7778371,Tepatitlan de Morelos,Jalisco,0610243407,bronze,CEDI-08 · Guadalajara
Walmart,Walmart,,18.8366256,-99.2137051,Temixco,Morelos,0253080653,bronze,CEDI-09 · Puebla
Walmart,Walmart,,19.6384616,-99.2233795,Cuautitlan Izcalli,Mexico,0637634556,bronze,CEDI-09 · Puebla
Walmart,Walmart,,27.4818168,-109.927085,Ciudad Obregon,Sonora,0485758577,silver,CEDI-13 · Hermosillo
Walmart,Walmart,,16.2315157,-95.208428,La Noria,Oaxaca,0059544106,gold,CEDI-07 · Villahermosa
Walmart,Walmart,,16.7532671,-93.1362163,Tuxtla Gutierrez,Chiapas,0626076604,bronze,CEDI-07 · Villahermosa
Walmart Express,Walmart,,19.3392205,-99.1266005,Coyoacan,Mexico City,0883612436,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.3987618,-99.2889231,San Bartolome Coatepec,Mexico,0006423065,bronze,CEDI-09 · Puebla
Walmart Express,Walmart,,19.3728901,-99.2789704,Col. Bosques de las Lomas,Mexico City,0265765528,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.5530701,-99.2905056,Ciudad Lopez Mateos,Mexico,0653336972,silver,CEDI-09 · Puebla
Walmart,Walmart,,25.7939408,-100.3272884,General Escobedo,Nuevo Leon,0527389395,gold,CEDI-12 · Guadalupe
Walmart,Walmart,,16.7505212,-93.0764066,Tuxtla Gutierrez,Chiapas,0891229691,gold,CEDI-07 · Villahermosa
Walmart Express,Walmart,,18.9368052,-99.2474479,Cuernavaca,Morelos,0573763965,silver,CEDI-09 · Puebla
Walmart,Walmart,Mo-Su 07:00-23:00,18.8625788,-97.0948134,Orizaba,Veracruz,0154157306,silver,CEDI-05 · Veracruz
Walmart,Walmart,,28.6189818,-106.0290466,Chihuahua,Chihuahua,0577458013,silver,CEDI-11 · Chihuahua
Walmart Supercenter,Walmart,Mo-Su 08:00-22:30,19.4196954,-99.0940449,Venustiano Carranza,Mexico City,0075682233,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,20.5875543,-103.4427492,La Tijera,Jalisco,0148849827,gold,CEDI-08 · Guadalajara
Walmart Express,Walmart,,19.3448608,-99.1351934,Coyoacan,Mexico City,0659929700,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,32.3784659,-117.0589563,Rosarito,Baja California,0462278708,silver,CEDI-04 · San Luis
Walmart,Walmart,,19.8246235,-90.5457555,Campeche,Campeche,0504250659,silver,CEDI-03 · Merida
Walmart,Walmart,,19.2992241,-98.8859091,Ixtapaluca,Mexico,0323706866,bronze,CEDI-09 · Puebla
Walmart,Walmart,,21.038754,-89.6043101,Merida,Yucatan,0814391823,bronze,CEDI-03 · Merida
Walmart,Walmart,,25.7599588,-100.4054872,Mitras Poniente,Nuevo Leon,0496320038,bronze,CEDI-12 · Guadalupe
Walmart,Walmart,,32.4878693,-116.9455419,San Luis,Baja California,0350941127,bronze,CEDI-04 · San Luis
Walmart,Walmart,,19.5189913,-99.1168461,Colonia Lindavista,Mexico,0252274871,gold,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,21.8598263,-102.2960654,Aguascalientes,Aguascalientes,0861529533,bronze,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,Mo-Su 08:00-22:00,28.7274465,-106.1299761,Chihuahua,Chihuahua,0778286412,gold,CEDI-11 · Chihuahua
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.4152626,-99.1780745,Polanco,Mexico City,0540599241,bronze,CEDI-09 · Puebla
Walmart,Walmart,,29.0983153,-110.9941515,Hermosillo,Sonora,0514492898,gold,CEDI-13 · Hermosillo
Walmart,Walmart,,19.6927456,-101.1488709,Puerto de Buenavista (Lazaro Cardenas),Michoacan,0052131928,silver,CEDI-10 · Santiago de Queretaro
Walmart La Isla,Walmart,,24.8249887,-107.3702406,Culiacan,Sinaloa,0155552331,gold,CEDI-01 · La Paz
Walmart,Walmart,,19.6591248,-99.0184522,Santo Tomas Chiconautla,Mexico,0153394711,bronze,CEDI-09 · Puebla
Walmart,Walmart,,19.2994268,-98.9534528,San Miguel Xico Viejo,Mexico,0495676387,bronze,CEDI-09 · Puebla
Walmart,Walmart,,19.0770185,-98.2243385,Sanctorum,Puebla,0065662163,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,19.033006,-98.2249872,Puebla,Puebla,0611069483,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,18.9442032,-99.2278842,Cuernavaca,Morelos,0022158981,bronze,CEDI-09 · Puebla
Walmart,Walmart,,29.1221182,-110.9492411,Hermosillo,Sonora,0084430258,bronze,CEDI-13 · Hermosillo
Walmart,Walmart,,21.0984411,-101.6601165,Leon,Guanajuato,0296101681,bronze,CEDI-10 · Santiago de Queretaro
Walmart Express,Walmart,,18.9562867,-99.2463575,Fraccionamiento Lomas de Ahuatlan,Morelos,0004951497,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.515425,-99.2310742,Vista Hermosa,Mexico,0420231608,gold,CEDI-09 · Puebla
Walmart,Walmart,,19.7899192,-99.0547159,Arbolada los Sauces,Mexico,0489619488,gold,CEDI-09 · Puebla
Walmart,Walmart,,23.7405969,-99.1347435,Ciudad Victoria,Tamaulipas,0200566601,bronze,CEDI-02 · Tampico
Walmart Supercenter,Walmart,,19.2613176,-98.878062,Chalco de Diaz Covarrubias,Mexico,0719358747,gold,CEDI-09 · Puebla
Walmart,Walmart,,22.277706,-97.8420689,Ciudad Madero,Tamaulipas,0625458887,bronze,CEDI-02 · Tampico
Walmart,Walmart,,28.697911,-106.139114,Chihuahua,Chihuahua,0444335886,silver,CEDI-11 · Chihuahua
Walmart Supercenter,Walmart,,28.6658722,-106.1307812,Chihuahua,Chihuahua,0209583034,gold,CEDI-11 · Chihuahua
Walmart Supercenter,Walmart,,32.4744702,-117.0004853,Tijuana,Baja California,0579051411,silver,CEDI-04 · San Luis
Walmart Colosio,Walmart,Mo-Su 07:00-23:00,29.0833106,-111.0214687,Hermosillo,Sonora,0987370492,silver,CEDI-13 · Hermosillo
Walmart Supercenter,Walmart,,19.3445769,-99.1827557,Coyoacan,Mexico City,0031330879,gold,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,17.5256642,-99.489861,Chilpancingo de los Bravos,Guerrero,0922581458,silver,CEDI-09 · Puebla
Walmart,Walmart,,16.7447666,-92.660117,San Antonio del Monte,Chiapas,0966970199,silver,CEDI-07 · Villahermosa
Walmart,Walmart,,21.1251674,-86.8754778,Alfredo V. Bonfil,Quintana Roo,0891114346,gold,CEDI-03 · Merida
Walmart Express,Walmart,,19.0762595,-96.093022,Playa de la Libertad,Veracruz,0882993710,bronze,CEDI-05 · Veracruz
Walmart Express,Walmart,,19.4223365,-99.2055158,Polanco,Mexico City,0764650909,gold,CEDI-09 · Puebla
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3395759,-99.2188186,Magdalena Contreras,Mexico City,0841337651,silver,CEDI-09 · Puebla
Walmart,Walmart,,16.844763,-99.847337,Acapulco de Juarez,Guerrero,0310532560,gold,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,20.559802,-100.4273835,El Pueblito,Queretaro,0683669109,bronze,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,19.5160229,-99.2677855,Rincon Verde,Mexico,0107405843,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,Mo-Su 07:00-22:00,19.4092548,-99.075272,Iztacalco,Mexico City,0571152038,gold,CEDI-09 · Puebla
Walmart,Walmart,,19.3238448,-98.2297135,Acxotla del Rio,Tlaxcala,0648253662,gold,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.249667,-99.5897545,San Salvador Tizatlalli,Mexico,0074257414,silver,CEDI-09 · Puebla
Walmart,Walmart,,19.0172782,-98.2634913,Tlazcalancingo,Puebla,0070475697,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,20.743896,-103.4095565,Zapopan2,Jalisco,0009372043,gold,CEDI-08 · Guadalajara
Walmart Supercenter,Walmart,,25.7915827,-100.2476839,Fraccionamiento Cosmopolis Octavo Sector,Nuevo Leon,0274937564,silver,CEDI-12 · Guadalupe
Walmart Supercenter,Walmart,,19.3640196,-99.2886505,Cuajimalpa,Mexico City,0020072759,bronze,CEDI-09 · Puebla
Walmart,Walmart,,21.1543228,-86.8337325,Cancun,Quintana Roo,0024041564,gold,CEDI-03 · Merida
Walmart,Walmart,,25.8058384,-108.990648,Los Mochis,Sinaloa,0627965914,bronze,CEDI-01 · La Paz
Walmart Supercenter,Walmart,,20.5832283,-101.2246184,Salamanca,Guanajuato,0134491481,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,25.8594122,-97.5195236,Heroica Matamoros,Tamaulipas,0185637655,silver,CEDI-12 · Guadalupe
Walmart Reforma Huinala,Walmart,,25.7236045,-100.1642325,Fraccionamiento Mision de San Javier,Nuevo Leon,0587587952,silver,CEDI-12 · Guadalupe
Walmart,Walmart,,20.6572342,-101.3432144,Irapuato,Guanajuato,0768409629,silver,CEDI-10 · Santiago de Queretaro
Walmart Supercenter,Walmart,,19.5159382,-98.8685193,Texcoco de Mora,Mexico,0190834532,silver,CEDI-09 · Puebla
Walmart,Walmart,,18.9328078,-99.2275323,Cuernavaca,Morelos,0273980965,gold,CEDI-09 · Puebla
